Frequency,Height
1e-06,95400.0
55813.9535,95400.8614198
111627.907,95403.44567922
167441.86,95407.75277824
223255.814,95413.21773619
279069.767,95420.1500766
334883.721,95428.71672383
390697.674,95438.86485066
446511.628,95448.09817997
502325.581,95459.588202
558139.535,95472.62779331
613953.488,95484.84702554
669767.442,95497.36298944
725581.395,95511.93296958
781395.349,95527.94872426
837209.302,95539.39000699
893023.256,95553.78842614
948837.209,95569.95577398
1004651.16,95588.97384333
1060465.12,95612.01172858
1116279.07,95634.65445264
1172093.02,95658.14163751
1227906.98,95698.39111295
1283720.93,95737.05777828
1339534.88,95774.17310566
1395348.84,95811.61696187
1451162.79,95886.40903745
1506976.74,95944.61250528
1562790.7,96001.29447244
1618604.65,96093.11833517
1674418.6,96188.85909513
1730232.56,96275.44660768
1786046.51,96360.35795545
1841860.47,96509.48526669
1897674.42,96633.04657651
1953488.37,96750.9638694
2009302.33,96958.76785428
2065116.28,97234.21406549
2120930.23,97454.7230178
2176744.19,97662.47643687
2232558.14,98124.78926822
2288372.09,98507.87508192
2344186.05,98849.60344578
2400000.0,99176.99609041
2455813.95,99781.47389842
2511627.91,100229.72272793
2567441.86,100656.30906772
2623255.81,101217.10963024
2679069.77,101759.92508257
2734883.72,102267.45461767
2790697.67,102764.55997348
2846511.63,103409.9823641
2902325.58,103982.99080942
2958139.53,104542.54683077
3013953.49,105401.12594755
3069767.44,106347.54276918
3125581.4,107165.06795625
3181395.35,107946.6616642
3237209.3,109923.85417472
3293023.26,111429.348111
3348837.21,112759.4633751
3404651.16,114916.51243712
3460465.12,118545.05841789
3516279.07,121118.75109752
3572093.02,123437.55470857
3627906.98,131217.55067094
3683720.93,137616.95415759
3739534.88,142809.90841027
3795348.84,147530.22877044
3851162.79,154633.64117778
3906976.74,160185.49727173
3962790.7,165382.06251351
4018604.65,170720.15829915
4074418.6,175956.50457147
4130232.56,181012.32049828
4186046.51,185985.7027772
4241860.47,192812.97869368
4297674.42,198764.77861573
4353488.37,204463.52813214
4409302.33,210475.07493468
4465116.28,216721.50557074
4520930.23,222665.96039599
4576744.19,228523.54607807
4632558.14,234259.39738288
4688372.09,240010.42718185
4744186.05,245778.54504797
4800000.0,251564.97685524
4855813.95,256108.11608283
4911627.91,261394.63923536
4967441.86,266822.69803173
5023255.81,271600.03953026
5079069.77,276543.68306265
5134883.72,281743.64877826
5190697.67,287073.01605895
5246511.63,292270.37950182
5302325.58,297659.06049596
5358139.53,303143.62146328
5413953.49,308579.09199706
5469767.44,314050.18192508
5525581.4,319642.90219064
5581395.35,325315.58027309
5637209.3,330845.15148037
5693023.26,336524.18917902
5748837.21,342297.25397252
5804651.16,348067.66339479
5860465.12,353778.57645362
5916279.07,359642.82280646
5972093.02,365590.15834261
6027906.98,371137.01309544
6083720.93,376866.1117844
6139534.88,382759.61563605
6195348.84,388754.18927143
6251162.79,394301.86415236
6306976.74,400207.35097272
6362790.7,406234.2734108
6418604.65,412486.92915725
6474418.6,418820.90379593
6530232.56,425180.69921314
6586046.51,431592.00975567
6641860.47,438943.67003977
6697674.42,445948.94741153
6753488.37,452894.92852002
6809302.33,460578.76063261
6865116.28,468781.89553388
6920930.23,476532.2131154
6976744.19,484182.5425743
7032558.14,495813.27746286
7088372.09,506097.03470776
7144186.05,515669.93517122
7200000.0,524964.04131651
